station_id,timestamp,opc_pm1,opc_pm25,opc_pm10,opc_pm10_max,pms_pm25,temperature,humidity,pressure,rssi,snr,hub_rssi,hub_snr
4,2026-06-04 23:40:49,0.60,5.28,57.08,327.67,2.89,17.07,37.22,917.6616,-99,4.25,-99.0,4.25
4,2026-06-05 02:20:49,0.27,0.66,2.10,28.08,0.00,14.79,48.25,917.6092,-101,3.50,-101.0,3.5
4,2026-06-05 11:10:49,0.39,1.02,5.46,65.71,0.00,21.98,26.82,916.6334,-100,4.25,-100.0,4.25
4,2026-06-05 11:30:49,2.80,35.18,277.91,327.67,0.00,24.57,24.21,916.3589,-101,3.25,-101.0,3.25
4,2026-06-05 12:00:49,4.34,50.07,327.67,327.67,0.00,27.44,19.47,916.0649,-99,5.25,-99.0,5.25
4,2026-06-05 12:10:49,6.50,80.68,327.67,327.67,0.00,26.53,19.87,915.9054,-97,6.25,-97.0,6.25
4,2026-06-05 12:20:49,2.84,29.44,194.78,327.67,0.00,25.01,21.02,915.8784,-99,5.75,-99.0,5.75
4,2026-06-05 12:30:49,1.77,16.99,110.25,327.67,0.00,24.68,21.03,915.8576,-99,4.00,-99.0,4.0
4,2026-06-05 12:40:49,2.09,21.35,147.01,327.67,0.00,25.28,21.79,915.8665,-98,6.00,-98.0,6.0
4,2026-06-05 13:00:49,13.24,166.54,327.67,327.67,0.00,25.95,20.37,915.7073,-98,5.25,-98.0,5.25
4,2026-06-05 13:20:49,6.85,79.87,327.67,327.67,0.00,25.45,20.77,915.5542,-99,3.75,-99.0,3.75
4,2026-06-05 13:30:49,8.07,94.71,327.67,327.67,0.00,27.55,18.71,915.5093,-98,4.75,-98.0,4.75
4,2026-06-05 13:50:49,5.57,64.99,327.67,327.67,0.00,27.25,18.72,915.2515,-97,5.50,-97.0,5.5
4,2026-06-05 14:00:49,7.29,82.69,327.67,327.67,0.00,25.60,20.35,915.1662,-97,6.00,-97.0,6.0
